questionText,questionType,option1,option2,option3,option4,option5,option6,correctAnswer,timeLimitSeconds,points,mediaUrl
"Why do many CSV-reading snippets call f.readline() once before the main loop?","MCQ","To close the file","To skip the header row","To reverse row order","To force UTF-8 decoding","","","To skip the header row",55,2,""
"What does csv.DictReader produce for each data row?","MCQ","A tuple of values","A dictionary mapping column names to values","A list of lists","A set of field names","","","A dictionary mapping column names to values",55,2,""
"For scores = [10, 20, 40, 50, 90], what is the median?","MCQ","20","40","42","50","","","40",60,2,""
"When writing out.csv from a source CSV while dropping Gender column, what should be written first?","MCQ","Only data rows","A corrected header without Gender","An empty line","Row count","","","A corrected header without Gender",70,3,""
"Which function call returns the number of digits in 100! ?","MCQ","len(factorial(100))","len(str(factorial(100)))","digits(factorial(100))","str(len(factorial(100)))","","","len(str(factorial(100)))",65,3,""
"What does this iterative update do for binary conversion: value = value*2 + int(bit)?","MCQ","Computes parity only","Converts binary string to decimal","Converts decimal to binary","Finds most significant bit","","","Converts binary string to decimal",65,2,""
"A correct recursive list equality function must include which base case?","MCQ","Return True when both lists are empty","Return True when first elements match","Return False when lists are sorted","No base case needed","","","Return True when both lists are empty",70,3,""
"In OOP, which statement about class attributes is correct?","MCQ","Each object gets a private copy always","They are shared across instances unless shadowed on an instance","They can only store numbers","They cannot be read via instances","","","They are shared across instances unless shadowed on an instance",60,2,""
"What is the typical use of @classmethod?","MCQ","To hide private fields","To define alternative constructors using cls","To make methods faster than instance methods","To prevent inheritance","","","To define alternative constructors using cls",55,2,""
"A Group.remove(roll_no) method should usually:","MCQ","Create a new class definition","Delete all students unconditionally","Update the group's member collection by removing matching roll number","Print members without changing state","","","Update the group's member collection by removing matching roll number",70,3,""
